"y1","y2","x_age","x_income"
0,3,-1.28186333939104,-1.465887537374
0,2,-0.617610913564914,-0.501717969901461
1,2,0.698964354614589,1.0663001387982
0,0,1.13949853938446,0.538239410832367
2,1,-0.822154612872685,-1.87099965255346
0,2,-1.0370118792834,0.576642710306388
11,0,2.06665893372323,0.141279754335185
2,2,0.441969182693555,-0.0865803529835218
0,4,-1.18278866171296,-1.04155229751161
1,0,1.79051824646759,-2.71992739080936
5,4,0.418671382795426,2.52268378553853
0,0,1.12172173849656,-0.388425008470638
7,5,0.166043771008162,2.10754039154306
1,5,-0.896947093977074,0.676127668338179
4,4,-0.716659761495226,-0.444312654701807
3,0,-1.16345305780493,-0.674366299665714
1,1,1.50594370574227,0.921059457802592
1,2,0.385779295490893,-2.12808440198259
2,0,0.0699405756043833,-0.560468326868056
1,1,1.06387854635367,0.890593402121831
1,0,-0.60794481228736,0.100364203919414
0,1,-0.95098362591129,-1.446179985257
1,1,0.0379773883171359,-0.000771464343204165
0,0,0.119063289235382,-2.39569528298371
10,4,0.776527587851415,1.12788424763932
4,1,2.2546389630116,-0.959765110035567
2,2,-0.166081769294048,0.435043440030609
0,0,1.38054824366864,-1.6622941434004
0,0,-0.495924384586163,-0.13205588042294
0,0,0.466052520747914,-0.628126615506447
4,6,0.603773458407508,-0.585480449940877
2,1,1.2609062981282,0.0193912947567164
1,3,0.936565254806711,-1.37453205184284
1,3,-0.512415712390328,2.39356240638846
1,1,0.108023709967272,-0.944160541169982
1,3,0.742351444192506,-0.282584542487206
3,1,-0.319026219073168,0.897183871357992
0,0,-0.31714147339767,-0.163450130974617
0,1,0.278012860961505,-1.29603169207669
0,1,-0.0492929681592517,-0.233513538566513
0,0,-1.08024039750759,0.408052996651316
6,1,0.516304043750677,-0.300545589247333
1,3,0.170457963236208,1.29245104611969
0,0,0.402379302416962,-0.782127042733279
0,0,-0.974491647368077,0.712440981101735
2,0,-0.226623250179356,1.37441922853331
2,1,2.07248369409012,0.406439743006452
6,1,0.197473214405904,-0.0773630689098133
9,4,1.004462538494,1.5390381445127
1,0,-0.494764358160769,-1.19463941549386
0,1,0.187658161313115,-0.37425164785343
0,0,0.230676891453582,-0.538266179663322
2,8,-2.10314086550649,-0.863062189271119
1,0,-0.122338582278057,0.245835146018322
0,1,-0.307486568838299,0.738735841160894
0,0,-0.753134637544885,-1.9975885966966
2,1,-1.03386126048015,0.413965937540996
1,2,1.07427118367791,0.104509516838714
0,0,-0.902092842411577,1.11611487097595
1,1,-0.659142158648694,-0.51179835328844
2,2,2.5950752773627,-1.17543138545346
2,4,-0.192002689203638,0.531402186423728
3,2,-0.160744254357627,0.222096315264666
1,0,-0.784227115155586,-0.742087332715398
1,0,-0.64221994385615,0.450269882936838
4,3,-0.385112378562713,0.166947433534068
2,1,0.925351856650813,1.32852406545337
0,2,-0.0853994671572439,0.0598804373892765
1,0,-0.415902242279416,0.984465263445402
0,1,-0.87851353882948,-0.712344331505244
1,0,-0.169010064932319,-0.65992524115847
3,3,1.21809875639111,-0.809944686609402
4,1,1.63025686472842,0.570768769292542
5,3,0.583367793409178,-0.254360093227042
1,0,0.655554467742861,-1.75778918509702
0,2,-2.08649194641544,0.341570908190289
